Strategy,OOS_trades,OOS_win_rate_pct,OOS_sharpe,OOS_profit_factor,OOS_total_return_pct,Qualified
WMA13_Cross_EMA55_CMF_ADX_Short,9,66.67,-0.2,0.86,-0.11,no
WMA5_Cross_EMA13_EFI_ADX_Short,9,55.56,-0.22,0.85,-0.09,no
RSI55_CMF_ADX_Bear_V2_Short,6,66.67,-0.18,0.85,-0.06,no
WMA13_WMA34_ADX_Bear_Short,20,65,-0.37,0.84,-0.26,no
EMA9_Cross_EFI_ADX_Long,7,71.43,-0.2,0.83,-0.08,no
ADX_Surge_Breakout_Short,52,69.23,-0.78,0.79,-0.73,no
HMA_Slope_EMA_MACD_Bull_Long,98,70.41,-0.93,0.78,-1.01,no
EMA8_Cross_EMA50_Short,12,58.33,-0.37,0.77,-0.17,no
WMA_CMF_Bear_Short,6,66.67,-0.27,0.77,-0.08,no
Three_Bull_Candles_Long,99,73.74,-1.08,0.74,-1.09,no
Squeeze_Fired_Long,27,62.96,-0.7,0.74,-0.42,no
Coppock_ADX_Bear_Short,17,70.59,-0.54,0.74,-0.34,no
EMA21_EMA50_Death_Cross_Short,14,71.43,-0.59,0.68,-0.33,no
EMA8_Cross_WMA13_Fisher_ADX_Long,28,64.29,-1,0.66,-0.66,no
Dual_RSI_Oversold_Long,21,80.95,-0.67,0.64,-0.36,no
1h_WMA13_CMF_Bear_Short,19,63.16,-0.93,0.64,-0.69,no
Donchian_Breakout_Long,49,63.27,-1.33,0.63,-1.15,no
Coppock_Zero_Bear_Short,31,67.74,-1.12,0.63,-0.82,no
WMA9_Fisher_ADX_Short,5,60,-0.46,0.63,-0.13,no
WMA9_CMF_ADX_Bear_Short,5,60,-0.46,0.63,-0.13,no
WMA_Bear_Cross_Short,5,60,-0.46,0.63,-0.13,no
WMA_EFI_Bear_Short,5,60,-0.46,0.63,-0.13,no
KST_EFI_Bear_V_Short,33,69.7,-1.14,0.62,-0.94,no
KST_EFI_Bear_Short,33,69.7,-1.14,0.62,-0.94,no
KST_ADX_Bear_Short,13,76.92,-0.67,0.61,-0.33,no
Aroon_Crossover_Bear_Short,21,57.14,-1.1,0.59,-0.64,no
KST_Signal_Cross_Bear_Short,37,64.86,-1.43,0.57,-1.23,no
RSI_MACD_KST_Bear_Short,37,64.86,-1.43,0.57,-1.23,no
WilliamsR_Overbought_Short,22,72.73,-0.83,0.56,-0.39,no
KST_Bearish_Cross_Short,27,59.26,-1.35,0.53,-0.87,no
RSI55_EMA_MACD_Bear_Short,4,50,-0.98,0.33,-0.28,no
Five_Indicator_Bear_Short,3,66.67,-0.68,0.31,-0.13,no
WMA21_Cross_EMA55_EFI_ADX_Short,10,30,-2.43,0.21,-1.16,no
Bullish_Hammer_Long,8,50,-1.59,0.2,-0.58,no
Three_EMA_Cascade_Short,6,50,-1.59,0.17,-0.66,no
Bearish_Pin_Bar_Short,2,50,-0.91,0.11,-0.07,no
RSI_Mid_Cross_Long,10,100,4.75,0,0.61,no
EMA8_Cross_CMF_ADX_Short,9,100,5.96,0,0.94,no
Coppock_CMF_Bear_Short,7,100,4.03,0,0.43,no
WMA9_CMF_ADX_Long,5,100,9.84,0,0.44,no
WMA9_Fisher_Aroon_Bear_Short,5,100,7.6,0,0.57,no
WMA_KST_Bear_Short,4,100,8.83,0,0.5,no
WMA9_Aroon_Bear_Short,3,100,7.97,0,0.34,no
RSI48_Break_CMF_Short,3,100,4.95,0,0.43,no
WMA9_CMF_Deep_Bear_Short,1,100,0,0,0.16,no
Fisher_Extreme_Short,0,0,0,0,0,no
Pivot_Level_Break,0,0,0,0,0,no
MACD_Hist_Expansion_Short,0,0,0,0,0,no
StochRSI_4h_Oversold_Long,0,0,0,0,0,no
Supertrend_Flip_Short,0,0,0,0,0,no
Bollinger_Mean_Reversion,0,0,0,0,0,no
Squeeze_Fired_Short,0,0,0,0,0,no
WilliamsR_Oversold_Long,0,0,0,0,0,no
HMA9_Slope_EFI_ADX_Short,0,0,0,0,0,no
EMA_Ribbon_Trend_Rider,0,0,0,0,0,no
BB_Lower_Break_Short,0,0,0,0,0,no
Supertrend_Flip_Long,0,0,0,0,0,no
CMF_Cross_Bearish_Short,0,0,0,0,0,no
ADX_Momentum_Breakout,0,0,0,0,0,no
VWAP_Institutional_Fade,0,0,0,0,0,no
Opening_Range_Breakout,0,0,0,0,0,no
Funding_Extreme_Contrarian_Short,0,0,0,0,0,no
CMF_Cross_EFI_ADX_Short,0,0,0,0,0,no
